key,toss_winner,toss_decision,decision,winner
t20s0001,,,field,Kenya
t20s0002,,,bat,Australia
t20s0003,,,bat,England
t20s0004,,,field,New Zealand
t20s0005,,,bat,Australia
t20s0006,,,field,New Zealand
t20s0007,,,bat,South Africa
t20s0008,,,bat,Sri Lanka
t20s0009,,,bat,England
t20s0010,,,bat,South Africa
t20s0011,,,bat,New Zealand
t20s0012,,,field,New Zealand
t20s0013,,,bat,Australia
t20s0014,,,bat,West Indies
t20s0015,,,bat,West Indies
t20s0016,,,field,Bangladesh
t20s0017,,,field,Bangladesh
t20s0018,,,bat,Kenya
t20s0019,,,field,South Africa
t20s0020,,,bat,Australia
t20s0021,,,field,Scotland
t20s0022,,,field,New Zealand
t20s0023,,,bat,England
t20s0024,,,field,Bangladesh
t20s0025,,,field,Pakistan
t20s0026,,,bat,England
t20s0027,,,field,Kenya
t20s0028,,,field,South Africa
t20s0029,,,bat,New Zealand
t20s0030,,,field,England
t20s0031,,,field,Australia
t20s0032,,,field,India
t20s0033,,,field,Sri Lanka
t20s0034,,,field,Bangladesh
t20s0035,,,field,Pakistan
t20s0036,,,field,England
t20s0037,,,bat,India
t20s0038,,,field,South Africa
t20s0039,,,bat,India
t20s0040,,,field,Pakistan
t20s0041,,,field,Australia
t20s0042,,,bat,India
t20s0043,,,bat,New Zealand
t20s0044,,,bat,India
t20s0045,,,bat,Australia
t20s0046,,,field,South Africa
t20s0047,,,bat,Australia
t20s0048,,,field,West Indies
t20s0049,,,field,South Africa
t20s0050,,,bat,India
t20s0051,,,field,New Zealand
t20s0052,,,bat,England
t20s0053,,,bat,Pakistan
t20s0054,,,field,England
t20s0055,,,field,West Indies
t20s0056,,,field,Scotland
t20s0057,,,field,Netherlands
t20s0058,,,field,Ireland
t20s0059,,,field,Pakistan
t20s0060,,,field,Sri Lanka
t20s0061,,,field,Bangladesh
t20s0062,,,bat,New Zealand
t20s0063,,,bat,New Zealand
t20s0064,,,bat,Australia
t20s0065,,,bat,South Africa
t20s0066,,,bat,Sri Lanka
t20s0067,,,bat,Australia
t20s0068,,,field,New Zealand
t20s0069,,,field,New Zealand
t20s0070,,,field,West Indies
t20s0071,,,field,South Africa
t20s0072,,,field,Australia
t20s0073,,,field,Pakistan
t20s0074,,,field,Netherlands
t20s0075,,,bat,India
t20s0076,,,bat,Australia
t20s0077,,,field,New Zealand
t20s0078,,,field,Pakistan
t20s0079,,,field,Scotland
t20s0080,,,field,Sri Lanka
t20s0081,,,field,Ireland
t20s0082,,,field,New Zealand
t20s0083,,,bat,Pakistan
t20s0084,,,field,West Indies
t20s0085,,,field,India
t20s0086,,,bat,England
t20s0087,,,field,Ireland
t20s0088,,,bat,India
t20s0089,,,bat,Sri Lanka
t20s0090,,,bat,New Zealand
t20s0091,,,field,West Indies
t20s0092,,,field,India
t20s0093,,,bat,Sri Lanka
t20s0094,,,bat,Pakistan
t20s0095,,,bat,England
t20s0096,,,bat,South Africa
t20s0097,,,bat,Sri Lanka
